StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,I 1 _1,I 2_1,I 2_2,I 2_3,"I 3 ",I 4,I 5_1,I 5_2,I 5_3,I 5_4,I 6,I 7_1,I 7_2,I 7_3,I 7_4,I 7_5,EX 1.2_1,EX 1.3_1,EX 1.3_2,EX 1.3_3,EX 1.3_4,EX 1.3_5,EX 1.3_6,EX 2.2_1,EX 2.3_1,EX 2.3_2,EX 2.3_3,EX 2.3_4,EX 2.3_5,EX 2.3_6,FT 1_1,FT 2_1,FT 3_1,FT 3_2,FT 3_3,FT 3_4,FT 3_5,FT 4_1,FT 4_2,FT 4_3,FT 4_4,FT 5_1,FT 6_1,FT 6_2,FT 6_3,FT 6_4,FT 6_5,ED 2_1,NE 1_1,D 1,D 2,D 3,D 3_4_TEXT,D 4,D 4_3_TEXT,D 5,D 6,Group,Group1
2021-11-11 09:52:41,2021-11-11 09:56:33,IP Address,188.23.89.200,100,231,True,2021-11-11 09:56:33,R_3ISRcrXBohJGs3B,,,,,48.193603515625,16.3726043701171875,anonymous,EN,6,Stylish,Quality,Fit,Every 9 month,900,70,30,0,0,under 50 €,7 (very important),5,7 (very important),3,2,54,5,7 (strongly influenced),5,4,7 (strongly influenced),4,,,,,,,,5,20,,,,,,3,3,6,5,25,5,5,5,5,3,,30,Female,25,Student,,Austria,,Bachelor's degree,<1000,Test Group 1,No Education
2021-11-11 09:56:17,2021-11-11 10:05:57,IP Address,213.225.9.103,100,579,True,2021-11-11 10:05:58,R_6fcStyMA3oAIZAB,,,,,48.204803466796875,16.380096435546875,anonymous,EN,7 (strongly agree),quality,function,style,Every 6 month,1500,50,20,15,15,101-150€,5,3,7 (very important),4,2,50,4,5,6,4,4,4,,,,,,,,5,15,,,,,,7 (strongly agree),5,4,7 (strongly agree),30,5,6,7 (strongly agree,4,1 (strongly disagree,15,,Female,23,Student,,Austria,,High school diploma,1000-2000,Test Group 1,Education
2021-11-11 10:01:17,2021-11-11 10:06:08,IP Address,89.144.211.219,100,290,True,2021-11-11 10:06:08,R_PYUvJKxhRvuPegN,,,,,48.1436004638671875,16.294097900390625,anonymous,EN,5,style,utility,quality,Every 6 month,700,40,40,10,10,under 50 €,6,5,5,4,3,,,,,,,,35,2,6,4,4,5,2,5,15,,,,,,4,4,6,5,40,6,7 (strongly agree,7 (strongly agree,4,2,30,,Female,23,Student,,Austria,,Bachelor's degree,<1000,Test Group 2,Education
2021-11-11 10:02:27,2021-11-11 10:09:03,IP Address,91.114.172.68,100,396,True,2021-11-11 10:09:03,R_2qlytcjCyVFUV1U,,,,,48.307403564453125,14.285003662109375,anonymous,EN,5,Comfortable,Stylish,Diverse,Every 6 month,250,70,20,0,10,50-80 €,7 (very important),3,5,3,2,100,6,2,6,4,2,5,,,,,,,,5,5,,,,,,6,3,7 (strongly agree),7 (strongly agree),25,6,6,6,3,2,,10,Male,18,Student,,Austria,,Compulsory schooling,<1000,Test Group 1,No Education
2021-11-11 09:58:52,2021-11-11 10:09:05,IP Address,217.149.172.19,100,612,True,2021-11-11 10:09:05,R_3eylKXzGXa2xN3x,,,,,48.195098876953125,16.348297119140625,anonymous,EN,4,stylish,must underline my body type,not that pricy,Every 6 month,400,40,45,10,5,under 50 €,7 (very important),5,4,3,2,40,7 (strongly influenced),5,6,4,4,4,,,,,,,,5,10,,,,,,7 (strongly agree),5,7 (strongly agree),6,30,6,6,3,4,1 (strongly disagree,,10,Female,24,Student,,Austria,,Bachelor's degree,<1000,Test Group 1,No Education
2021-11-11 10:04:35,2021-11-11 10:10:44,IP Address,81.10.240.27,100,368,True,2021-11-11 10:10:44,R_p3MfuH2CHEIlR7j,,,,,48.21240234375,14.485595703125,anonymous,EN,5,fair,minimalistic,basic,Every 9 month,500,50,5,15,30,81-100€,7 (very important),2,7 (very important),7 (very important),5,,,,,,,,58,2,2,7 (strongly influenced),5,2,7 (strongly influenced),4,20,,,,,,5,6,7 (strongly agree),7 (strongly agree),51,7 (strongly agree,7 (strongly agree,6,6,3,70,,Female,22,Student,,Austria,,High school diploma,<1000,Test Group 2,Education
2021-11-11 10:03:17,2021-11-11 10:13:14,IP Address,213.205.197.103,100,597,True,2021-11-11 10:13:15,R_2wEsautPPP6hpMV,,,,,52.6923065185546875,-1.822601318359375,anonymous,EN,4,"Comfortable ","Stylish ","Good quality ",Every 9 month,500,0,100,0,0,50-80 €,7 (very important),4,7 (very important),4,7 (very important),,,,,,,,45,4,7 (strongly influenced),7 (strongly influenced),5,6,1 (not influenced at all),6,25,,,,,,4,4,7 (strongly agree),7 (strongly agree),100,7 (strongly agree,7 (strongly agree,7 (strongly agree,7 (strongly agree,4,40,,Female,28,Self employed,,Other,English,Bachelor's degree,3000-4000,Test Group 2,Education
2021-11-11 10:10:34,2021-11-11 10:15:49,IP Address,62.47.167.110,100,314,True,2021-11-11 10:15:49,R_3oH0Pc8r4BbJV3u,,,,,48.2154998779296875,16.3074951171875,anonymous,EN,6,long-lasting,"sustainable ","comfortable ",Every 9 month,600,0,35,45,20,101-150€,5,5,7 (very important),7 (very important),7 (very important),85,7 (strongly influenced),5,4,6,6,7 (strongly influenced),,,,,,,,5,71,,,,,,7 (strongly agree),6,7 (strongly agree),7 (strongly agree),40,6,7 (strongly agree,7 (strongly agree,5,7 (strongly agree,,64,Female,23,Employed,,Austria,,Bachelor's degree,1000-2000,Test Group 1,No Education
2021-11-11 09:45:59,2021-11-11 10:16:36,IP Address,90.146.253.57,100,1837,True,2021-11-11 10:16:37,R_Byvi5lhBz0U6dfb,,,,,48.1858978271484375,14.12139892578125,anonymous,EN,7 (strongly agree),,,,Every 9 month,400,10,40,40,10,50-80 €,7 (very important),4,5,7 (very important),7 (very important),,,,,,,,40,3,3,3,3,3,3,5,50,,,,,,4,4,7 (strongly agree),4,60,5,4,7 (strongly agree,4,4,50,,Female,17,Student,,Austria,,Compulsory schooling,<1000,Test Group 2,Education
2021-11-11 10:14:19,2021-11-11 10:18:01,IP Address,89.144.221.153,100,222,True,2021-11-11 10:18:01,R_1qgoYiXsuR5nlhr,,,,,48.2342071533203125,16.3249969482421875,anonymous,EN,1 (strongly disagree),,,,Every 3 month,1000,80,20,0,0,101-150€,7 (very important),4,6,3,1 (not important),68,5,2,5,4,5,4,,,,,,,,6,0,3,3,3,2,3,,,,,10,5,4,4,4,1 (strongly disagree,,0,Female,23,Student,,Austria,,Bachelor's degree,2000-3000,Test Group 1,No Education
2021-11-11 10:12:40,2021-11-11 10:18:37,IP Address,213.225.38.94,100,357,True,2021-11-11 10:18:38,R_1r7TGDYcHGy7stn,,,,,48.301605224609375,16.343597412109375,anonymous,EN,5,,,,Every 6 month,2000,50,50,0,0,under 50 €,4,6,4,4,3,,,,,,,,40,4,5,5,4,4,2,2,3,,,,,,2,4,5,6,30,4,5,5,5,2,,20,Male,26,Employed,,Austria,,Compulsory schooling,2000-3000,Test Group 2,No Education
2021-11-11 10:18:14,2021-11-11 10:26:45,IP Address,213.142.97.50,100,511,True,2021-11-11 10:26:46,R_31FcAskN3UypKf3,,,,,48.15350341796875,16.385498046875,anonymous,EN,7 (strongly agree),Schick,"Bequem ","Qualität ",Less than once a year,400,10,0,90,0,50-80 €,4,4,6,5,5,79,6,6,6,5,5,4,,,,,,,,5,20,,,,,,4,4,5,6,73,5,5,3,3,3,,40,Female,53,Self employed,,Austria,,Compulsory schooling,1000-2000,Test Group 1,No Education
2021-11-11 10:20:24,2021-11-11 10:27:08,IP Address,91.141.59.75,100,403,True,2021-11-11 10:27:08,R_25TnxiKhbOufgMg,,,,,48.2169952392578125,16.3943939208984375,anonymous,EN,6,Style,Quality,Price,Every 6 month,500,40,20,20,20,50-80 €,6,5,7 (very important),3,1 (not important),40,7 (strongly influenced),5,5,5,6,4,,,,,,,,6,0,2,6,2,4,2,,,,,20,5,5,6,3,1 (strongly disagree,5,,Female,19,Student,,Austria,,High school diploma,<1000,Test Group 1,Education
2021-11-11 10:19:38,2021-11-11 10:27:10,IP Address,81.10.224.179,100,452,True,2021-11-11 10:27:11,R_ph4vod46PeVOWiJ,,,,,48.1858978271484375,14.12139892578125,anonymous,EN,6,,,,Every 3 month,1000,0,70,30,0,under 50 €,5,7 (very important),4,5,2,,,,,,,,34,1 (not influenced at all),4,5,2,4,5,4,20,,,,,,4,4,6,7 (strongly agree),55,7 (strongly agree,6,7 (strongly agree,6,2,50,,Female,15,Student,,Austria,,Compulsory schooling,<1000,Test Group 2,Education
2021-11-11 10:23:33,2021-11-11 10:29:16,IP Address,62.240.134.158,100,343,True,2021-11-11 10:29:17,R_1qfhHU9bKX9NDrT,,,,,48.2169036865234375,16.49969482421875,anonymous,EN,5,Material,Sustainability,,Every 9 month,500,40,60,0,0,50-80 €,7 (very important),6,7 (very important),5,4,,,,,,,,50,4,5,6,4,5,4,4,11,,,,,,6,3,4,6,30,5,3,6,3,3,25,,Male,25,Student,,Austria,,Bachelor's degree,<1000,Test Group 2,Education
2021-11-11 10:08:44,2021-11-11 10:30:52,IP Address,62.205.122.82,100,1328,True,2021-11-11 10:30:52,R_3lQ6jm0mQMYRXv4,,,,,51.2191925048828125,4.391693115234375,anonymous,EN,5,Fit,Colours,Quality,Every 3 month,1400,20,20,50,10,50-80 €,7 (very important),4,5,5,5,,,,,,,,35,6,3,6,3,5,6,4,5,,,,,,5,5,7 (strongly agree),6,40,6,4,5,5,2,,20,Female,25,Student,,Austria,,High school diploma,1000-2000,Test Group 2,No Education
2021-11-11 10:21:25,2021-11-11 10:49:00,IP Address,178.165.184.134,100,1655,True,2021-11-11 10:49:01,R_1eK1KOLg2BOXBx1,,,,,48.2169036865234375,16.49969482421875,anonymous,EN,3,Comfy,Style,Stretch,Every 9 month,250,0,40,60,0,81-100€,7 (very important),4,7 (very important),5,4,69,5,2,4,2,1 (not influenced at all),6,,,,,,,,4,0,5,5,2,2,2,,,,,20,6,5,6,2,3,60,,Male,22,Employed,,Austria,,High school diploma,1000-2000,Test Group 1,Education
2021-11-11 10:56:59,2021-11-11 11:02:55,IP Address,2.152.83.239,100,356,True,2021-11-11 11:02:56,R_1mdT5i2nXgfBLFO,,,,,41.386993408203125,2.17010498046875,anonymous,EN,7 (strongly agree),Shoes,Coat,Top,Every 3 month,2000,30,60,10,0,under 50 €,6,7 (very important),7 (very important),5,5,,,,,,,,45,6,4,2,2,5,2,5,20,,,,,,5,5,6,7 (strongly agree),40,4,4,6,5,2,,30,Female,28,Employed,,Other,Spain,Bachelor's degree,2000-3000,Test Group 2,No Education
2021-11-11 11:38:48,2021-11-11 11:47:45,IP Address,84.115.235.67,100,537,True,2021-11-11 11:47:45,R_wKVwr8FE0U4ad9v,,,,,48.195098876953125,16.348297119140625,anonymous,EN,5,Comfort,Recycled materials or vintage,Uniqueness,Less than once a year,600,20,0,40,40,50-80 €,7 (very important),1 (not important),7 (very important),7 (very important),4,0,7 (strongly influenced),1 (not influenced at all),7 (strongly influenced),1 (not influenced at all),7 (strongly influenced),1 (not influenced at all),,,,,,,,6,19,,,,,,4,5,7 (strongly agree),7 (strongly agree),68,7 (strongly agree,7 (strongly agree,7 (strongly agree,6,5,,51,Female,25,Other,Student & Employed,Austria,,Bachelor's degree,1000-2000,Test Group 1,No Education
2021-11-11 11:41:14,2021-11-11 11:55:20,IP Address,109.252.70.52,100,845,True,2021-11-11 11:55:20,R_24tGKleMmSlr4m6,,,,,55.7483062744140625,37.617095947265625,anonymous,EN,4,shoes,shirts,suit,Less than once a year,1000,25,25,50,0,81-100€,5,3,5,3,1 (not important),,,,,,,,80,2,5,4,3,5,4,4,20,,,,,,3,5,4,2,40,3,2,6,1 (strongly disagree,5,40,,Male,45,Self employed,,Other,Russia,Master's degree,2000-3000,Test Group 2,Education
2021-11-11 11:48:47,2021-11-11 11:58:55,IP Address,109.252.70.52,100,608,True,2021-11-11 11:58:55,R_3s5D0igRygvOQsd,,,,,55.7483062744140625,37.617095947265625,anonymous,EN,5,"Comfortable ","Beautiful ","Oversizes ",Once a month,80000,1,50,30,19,101-150€,7 (very important),4,7 (very important),4,5,,,,,,,,82,4,2,7 (strongly influenced),2,4,5,4,56,,,,,,2,4,4,5,56,5,4,6,4,6,,45,Female,51,Self employed,,Other,Russia,Master's degree,3000-4000,Test Group 2,No Education
2021-11-11 11:47:58,2021-11-11 11:59:21,IP Address,213.87.146.109,100,683,True,2021-11-11 11:59:21,R_3MhrBJPIqkEkO1f,,,,,55.7483062744140625,37.617095947265625,anonymous,EN,3,Weather,Fascion,Culture,Every 9 month,1500,0,30,70,0,81-100€,7 (very important),3,7 (very important),2,3,40,1 (not influenced at all),7 (strongly influenced),7 (strongly influenced),2,6,1 (not influenced at all),,,,,,,,4,17,,,,,,2,6,2,2,9,4,2,3,5,1 (strongly disagree,29,,Female,46,Employed,,Other,,Master's degree,1000-2000,Test Group 1,Education
2021-11-11 11:53:20,2021-11-11 12:06:04,IP Address,109.252.184.88,100,763,True,2021-11-11 12:06:04,R_RXopBNhkHoTUyit,,,,,55.7483062744140625,37.617095947265625,anonymous,EN,7 (strongly agree),Weather,Mood,The aim of event,Every 3 month,2000,45,45,5,5,under 50 €,5,3,5,7 (very important),3,,,,,,,,36,5,7 (strongly influenced),7 (strongly influenced),5,7 (strongly influenced),5,5,4,,,,,,4,2,2,2,18,4,4,3,2,1 (strongly disagree,,26,Female,15,Student,,Other,Russian,Compulsory schooling,<1000,Test Group 2,No Education
2021-11-11 12:14:10,2021-11-11 12:28:30,IP Address,109.252.70.52,100,860,True,2021-11-11 12:28:30,R_O202jnVEo20hfB7,,,,,55.7483062744140625,37.617095947265625,anonymous,EN,5,price,fascion,brand,Every 9 month,2000,10,20,60,10,81-100€,7 (very important),5,7 (very important),2,2,100,2,7 (strongly influenced),5,4,7 (strongly influenced),3,,,,,,,,4,40,,,,,,6,7 (strongly agree),2,2,39,5,2,5,7 (strongly agree,2,71,,Female,45,Employed,,Other,Russia,Master's degree,2000-3000,Test Group 1,Education
2021-11-11 12:14:09,2021-11-11 12:31:49,IP Address,80.109.19.143,100,1060,True,2021-11-11 12:31:49,R_2RPIIoE3PqBXzah,,,,,48.1967926025390625,16.3191070556640625,anonymous,EN,7 (strongly agree),Stylish,Trendy,"Comfy ",Every 6 month,3000,5,0,60,35,101-150€,6,3,6,4,4,90,5,5,6,4,7 (strongly influenced),4,,,,,,,,6,40,,,,,,5,3,4,6,30,5,5,3,3,1 (strongly disagree,20,,Male,46,Employed,,Austria,,Master's degree,3000-4000,Test Group 1,Education
2021-11-11 12:19:18,2021-11-11 12:32:33,IP Address,109.252.70.52,100,794,True,2021-11-11 12:32:33,R_2wBSU02rpEOi4BY,,,,,55.7483062744140625,37.617095947265625,anonymous,EN,5,Price,material,sustainability,Every 9 month,1000,50,0,25,25,50-80 €,6,7 (very important),5,4,3,,,,,,,,40,5,6,3,2,6,4,4,0,5,7 (strongly agree),4,2,1 (strongly disagree),,,,,20,2,4,6,7 (strongly agree,1 (strongly disagree,,25,Male,38,Employed,,Other,Russia,Master's degree,3000-4000,Test Group 2,No Education
2021-11-11 12:27:21,2021-11-11 12:38:03,IP Address,109.252.51.1,100,641,True,2021-11-11 12:38:03,R_1puGRzqRfCsxHaF,,,,,55.7483062744140625,37.617095947265625,anonymous,EN,4,t-shirt,"jeans ","shoes ",Every 6 month,1500,5,40,5,50,50-80 €,4,7 (very important),7 (very important),7 (very important),4,,,,,,,,70,4,5,7 (strongly influenced),7 (strongly influenced),7 (strongly influenced),1 (not influenced at all),4,100,,,,,,5,7 (strongly agree),7 (strongly agree),7 (strongly agree),94,7 (strongly agree,7 (strongly agree,7 (strongly agree,7 (strongly agree,4,,81,Female,28,Employed,,Other,Russia,Master's degree,1000-2000,Test Group 2,No Education
2021-11-11 12:56:40,2021-11-11 13:07:06,IP Address,213.87.149.113,100,625,True,2021-11-11 13:07:06,R_xgahrG92jhcPEVX,,,,,55.7483062744140625,37.617095947265625,anonymous,EN,6,Comfortable,Nice,Fashionable,Less than once a year,2000,0,75,25,0,101-150€,5,2,6,5,5,41,4,5,2,3,6,4,,,,,,,,2,10,,,,,,4,4,4,4,0,4,2,2,4,1 (strongly disagree,10,,Male,46,Employed,,Other,"Russian ",Doctorate/Ph.D.,more,Test Group 1,Education
